品牌名称,品牌编号,品牌链接,优惠金额,金额分类,使用限制分类,规则详细说明
皇捷,12507,https://list.szlcsc.com/brand/12507.html,满16减15,满16减15,品牌新人,<品牌新人>15元皇捷品牌商品券
LEADER(立得),12535,https://list.szlcsc.com/brand/12535.html,满16减15,满16减15,品牌新人,<品牌新人>15元立得品牌商品券
JXTCONN(聚兴泰),16624,https://list.szlcsc.com/brand/16624.html,满16减15,满16减15,其它限制,15元聚兴泰品牌商品券
chipfountain(芯涛微),24904,https://list.szlcsc.com/brand/24904.html,满16减15,满16减15,其它限制,15元芯涛微品牌商品券
CCX(晁禾),24412,https://list.szlcsc.com/brand/24412.html,满16减15,满16减15,其它限制,15元晁禾品牌商品券
MPS(芯源),283,https://list.szlcsc.com/brand/283.html,满16减15,满16减15,品牌新人,<品牌新人>15元MPS品牌商品券
BHFUSE(佰宏),12424,https://list.szlcsc.com/brand/12424.html,满16减15,满16减15,其它限制,15元佰宏品牌指定类目商品券
Megastar(兆星),15340,https://list.szlcsc.com/brand/15340.html,满16减15,满16减15,其它限制,15元兆星品牌商品券
Bossie(博锡),15538,https://list.szlcsc.com/brand/15538.html,满16减15,满16减15,其它限制,15元博锡品牌商品券
Hichips(智芯),11741,https://list.szlcsc.com/brand/11741.html,满16减15,满16减15,品牌新人,<品牌新人>15元智芯品牌商品券
XYECONN(辛译),15593,https://list.szlcsc.com/brand/15593.html,满16减15,满16减15,其它限制,15元辛译品牌商品券
Leiditech(雷卯电子),11948,https://list.szlcsc.com/brand/11948.html,满16减15,满16减15,其它限制,15元雷卯电子品牌商品券
Hallwee(霍尔微电子),12515,https://list.szlcsc.com/brand/12515.html,满16减15,满16减15,其它限制,15元霍尔微电子品牌商品券
ZE(增益),12475,https://list.szlcsc.com/brand/12475.html,满16减15,满16减15,其它限制,15元增益品牌商品券
worldsemi,1250,https://list.szlcsc.com/brand/1250.html,满16减15,满16减15,其它限制,15元worldsemi品牌商品券
康深,13447,https://list.szlcsc.com/brand/13447.html,满16减15,满16减15,其它限制,15元康深品牌商品券
Semiwell(矽门微),17296,https://list.szlcsc.com/brand/17296.html,满16减15,满16减15,其它限制,15元矽门微品牌商品券
国星光电,966,https://list.szlcsc.com/brand/966.html,满16减15,满16减15,品牌新人,<品牌新人>15元国星光电品牌商品券
LUTE(陆特),15464,https://list.szlcsc.com/brand/15464.html,满16减15,满16减15,其它限制,15元陆特品牌商品券
Siproin(上海矽朋),11694,https://list.szlcsc.com/brand/11694.html,满16减15,满16减15,其它限制,15元上海矽朋品牌商品券
yezhan(业展),12113,https://list.szlcsc.com/brand/12113.html,满16减15,满16减15,其它限制,15元业展品牌商品券
SUNLIGHT(光华),11540,https://list.szlcsc.com/brand/11540.html,满16减15,满16减15,其它限制,15元光华品牌商品券
ReSine PS(瑞鑫),15768,https://list.szlcsc.com/brand/15768.html,满16减15,满16减15,其它限制,15元瑞鑫品牌商品券
